# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Face","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"Front","1":"Left","2":"Right","3":"Up","4":"Down","5":"UpLeft","6":"UpRight","7":"DownLeft","8":"DownRight","9":"Top","10":"Back"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"45_2MZ1QOyH","[""img_045.jpg""]",0,"[]","[2,136.118,20.639,126.781,114.496]","{}"
"46_FLX0lmpp","[""img_046.jpg""]",0,"[]","[2,100.737,44.717,216.708,168.551]","{""1"":""3""}"
"47_MeySKdXl","[""img_047.jpg""]",0,"[]","[2,85.012,11.302,224.079,251.597]","{}"
"48_bQEMlXK7","[""img_048.jpg""]",0,"[]","[2,87.469,120.393,132.678,149.386]","{}"
"49_5SlPPKEt","[""img_049.jpg""]",0,"[]","[2,172.973,84.521,47.174,66.83]","{}"
"50_nqDhGW2r","[""img_050.jpg""]",0,"[]","[2,170.516,7.862,163.636,286.487]","{}"
"51_SdzudrYu","[""img_051.jpg""]",0,"[]","[2,111.548,43.735,189.189,190.172]","{}"
"52_xaqf5LLq","[""img_052.jpg""]",0,"[]","[2,167.568,43.243,131.695,227.519]","{}"
"53_ERMqZ6GP","[""img_053.jpg""]",0,"[]","[2,137.592,34.398,149.877,141.523]","{}"
"54_i2gCLMrI","[""img_054.jpg""]",0,"[]","[2,206.88,69.779,117.936,158.231]","{}"
"55_On96ym0J","[""img_055.jpg""]",0,"[]","[2,47.666,50.614,278.133,294.841]","{}"
"56_MlfJC2VX","[""img_056.jpg""]",0,"[]","[2,108.108,70.27,163.636,157.248]","{}"
"57_6fTXLLBl","[""img_057.jpg""]",0,"[]","[2,82.555,61.916,185.75,170.025]","{}"
"58_pLy6ghgD","[""img_058.jpg""]",0,"[]","[2,108.108,55.528,206.388,180.836]","{}"
"59_Mqx8oa0g","[""img_059.jpg""]",0,"[]","[2,180.344,63.391,117.445,137.592]","{""1"":""3""}"
"60_GcSsvBT3","[""img_060.jpg""]",0,"[]","[2,137.592,40.786,99.754,266.339]","{}"
"61_wdqDWDOo","[""img_061.jpg""]",0,"[]","[2,89.435,53.071,206.388,197.543]","{}"
"62_wmoEdIeX","[""img_062.jpg""]",0,"[]","[2,146.929,72.236,102.211,118.427]","{}"
"63_Qp5jXvRx","[""img_063.jpg""]",0,"[]","[2,148.894,69.287,111.548,97.298]","{}"
"64_HYZNokRE","[""img_064.jpg""]",0,"[]","[2,142.506,71.253,157.74,200]","{}"
"65_lfyKbNwH","[""img_065.jpg""]",0,"[]","[2,56.02,9.337,170.024,376.412]","{}"
"66_GQNQbBtK","[""img_066.jpg""]",0,"[]","[2,170.516,21.13,123.833,220.148]","{""1"":""10""}"
"67_bqR5LpSC","[""img_067.jpg""]",0,"[]","[2,90.909,72.236,201.474,150.368]","{}"
"68_s4E7wEo2","[""img_068.jpg""]",0,"[]","[2,141.523,85.012,113.514,114.005]","{""1"":""3""}"
"69_VDDrySIK","[""img_069.jpg""]",0,"[]","[2,160.197,68.305,86.486,136.118]","{}"
"70_MoGgtEQV","[""img_070.jpg""]",0,"[]","[2,137.101,63.391,111.056,85.503]","{}"
"71_w5867AYT","[""img_071.jpg""]",0,"[]","[2,161.671,69.779,133.661,106.634]","{}"
"72_XsdJpEjt","[""img_072.jpg""]",0,"[]","[2,56.02,36.855,221.621,181.327]","{""1"":""3""}"
"73_2GtgfFC3","[""img_073.jpg""]",0,"[]","[2,98.28,32.432,204.423,168.551]","{}"
"74_0QgMPlTq","[""img_074.jpg""]",0,"[]","[2,114.496,23.096,86.978,148.403]","{""1"":""2""}"
"75_vu1k1XeX","[""img_075.jpg""]",0,"[]","[2,235.381,157.74,47.666,43.243]","{""1"":""1""}"
"76_SeVi9SYq","[""img_076.jpg""]",0,"[]","[2,119.902,122.359,151.842,102.211]","{}"
"77_SGlq85zZ","[""img_077.jpg""]",0,"[]","[2,129.238,84.521,86.487,152.825]","{}"
"78_cQFnVAoh","[""img_078.jpg""]",0,"[]","[2,136.118,83.538,86.978,149.877]","{""1"":""1""}"
"78_MI60vlNt","[""img_078.jpg""]",0,"[]","[2,266.339,5.897,97.297,126.781]","{""1"":""10""}"
"79_Inb6n75c","[""img_079.jpg""]",0,"[]","[2,81.572,29.975,205.406,185.258]","{}"
"80_QLXTfQaP","[""img_080.jpg""]",0,"[]","[2,86.978,36.364,126.781,239.312]","{""1"":""2""}"
"81_cD4PZtnY","[""img_081.jpg""]",0,"[]","[2,218.182,26.044,138.575,266.831]","{}"
"82_xDc780f8","[""img_082.jpg""]",0,"[]","[2,85.012,45.7,130.221,163.145]","{""1"":""2""}"
"82_0j52fRcL","[""img_082.jpg""]",0,"[]","[2,201.966,40.295,136.609,135.135]","{""1"":""1""}"
"82_BFFF1wfd","[""img_082.jpg""]",0,"[]","[2,201.966,39.803,1.474,0.492]","{}"
"83_NydcXOfX","[""img_083.jpg""]",0,"[]","[2,99.263,53.563,93.857,175.921]","{""1"":""2""}"
"84_LcubMHBE","[""img_084.jpg""]",0,"[]","[2,143.489,61.425,125.307,216.216]","{""1"":""4""}"
"85_mKdI7731","[""img_085.jpg""]",0,"[]","[2,162.162,66.339,97.789,228.993]","{}"
"86_hfqsUiSB","[""img_086.jpg""]",0,"[]","[2,139.066,59.951,127.273,153.317]","{""1"":""2""}"
"87_nqAfQAgK","[""img_087.jpg""]",0,"[]","[2,155.283,55.037,87.96,188.698]","{}"
"88_37ginE4g","[""img_088.jpg""]",0,"[]","[2,132.187,66.339,176.413,172.973]","{""1"":""4""}"
"89_NRn5dXsu","[""img_089.jpg""]",0,"[]","[2,69.287,89.926,78.133,110.074]","{""1"":""2""}"
"89_j0uJEq1g","[""img_089.jpg""]",0,"[]","[2,185.749,83.047,81.573,117.444]","{""1"":""2""}"
"89_4CDYARGo","[""img_089.jpg""]",0,"[]","[2,313.022,81.081,72.236,116.462]","{""1"":""2""}"
"90_yr344D4p","[""img_090.jpg""]",0,"[]","[2,164.619,95.332,64.374,97.297]","{}"
"91_78TJRwxn","[""img_091.jpg""]",0,"[]","[2,128.747,39.803,112.039,191.647]","{""1"":""2""}"
"92_mbR5Q78p","[""img_092.jpg""]",0,"[]","[2,169.042,38.821,64.373,115.97]","{}"
"93_f6MT4Rvj","[""img_093.jpg""]",0,"[]","[2,146.929,59.459,64.373,60.443]","{""1"":""1""}"
"94_YymtCAY1","[""img_094.jpg""]",0,"[]","[2,120.885,57.002,203.931,162.654]","{}"
"95_WMRI8j3r","[""img_095.jpg""]",0,"[]","[2,79.114,196.558,75.184,74.202]","{""1"":""6""}"
"95_o5BZXIAC","[""img_095.jpg""]",0,"[]","[2,142.998,25.061,75.675,104.177]","{""1"":""1""}"
"96_9jT2klBt","[""img_096.jpg""]",0,"[]","[2,100.246,61.916,140.54,177.887]","{""1"":""1""}"
"97_fDGXh5eM","[""img_097.jpg""]",0,"[]","[2,174.447,74.693,107.617,165.602]","{}"
"98_qHIx89X5","[""img_098.jpg""]",0,"[]","[2,127.273,4.914,81.081,124.324]","{}"
"99_GOCz0w1P","[""img_099.jpg""]",0,"[]","[2,137.592,75.676,129.238,142.997]","{}"
"100_LVXetAK9","[""img_100.jpg""]",0,"[]","[2,46.192,36.855,207.862,171.499]","{""1"":""7""}"
"101_BHG8jTRB","[""img_101.jpg""]",0,"[]","[2,166.093,77.15,123.833,198.034]","{""1"":""4""}"
"102_X0Ez7DTa","[""img_102.jpg""]",0,"[]","[2,170.516,83.047,115.97,131.695]","{}"
